CD   ID   FD   WD   ED
32   19   1    0    31   
63   1    1    31   31   
94   17   1    62   31   
134  15   1    102  31   
165  3    1    133  31   
196  13   1    164  31   
236  11   1    204  31   
267  5    1    235  31   
298  9    1    266  31   
338  7    1    306  31   
353  2    1    337  15   
368  4    1    352  15   
392  6    1    376  15   
407  8    1    391  15   
422  10   1    406  15   
446  12   1    430  15   
461  14   1    445  15   
476  16   1    460  15   
500  18   1    484  15   
515  20   1    499  15   
Missions: 20 [P: 10,E: 10]
Rovers: 1    [P: 1,E: 0]
Avg Wait = 284.15, Avg Exec = 23
